iter	Passed	Remaining
0	158	157858
1	160	79864
2	162	53894
3	164	40903
4	166	33143
5	169	28031
6	171	24310
7	173	21507
8	175	19327
9	177	17573
10	179	16129
11	182	14996
12	184	14041
13	186	13167
14	188	12406
15	190	11741
16	192	11157
17	195	10657
18	197	10208
19	199	9781
20	201	9400
21	203	9052
22	205	8730
23	207	8435
24	209	8188
25	211	7927
26	213	7688
27	215	7464
28	216	7257
29	218	7051
30	219	6858
31	220	6679
32	222	6512
33	223	6352
34	224	6202
35	226	6055
36	227	5913
37	228	5778
38	229	5653
39	230	5531
40	231	5414
41	232	5303
42	233	5196
43	234	5093
44	235	4994
45	236	4901
46	237	4809
47	238	4722
48	239	4646
49	240	4569
50	241	4492
51	242	4417
52	243	4345
53	244	4274
54	244	4207
55	245	4141
56	246	4076
57	247	4013
58	247	3955
59	248	3897
60	249	3841
61	250	3786
62	251	3734
63	251	3684
64	252	3635
65	253	3590
66	254	3545
67	255	3500
68	256	3456
69	256	3413
70	257	3372
71	258	3333
72	259	3295
73	260	3258
74	261	3221
75	261	3184
76	262	3148
77	263	3114
78	264	3081
79	265	3048
80	265	3016
81	266	2984
82	267	2950
83	268	2924
84	269	2897
85	269	2868
86	270	2841
87	271	2814
88	272	2788
89	273	2762
90	274	2737
91	274	2712
92	275	2688
93	276	2665
94	277	2642
95	278	2620
96	279	2597
97	279	2575
98	280	2554
99	281	2533
100	282	2513
101	283	2494
102	284	2475
103	285	2455
104	285	2437
105	286	2418
106	287	2400
107	288	2382
108	289	2364
109	290	2346
110	290	2330
111	291	2314
112	292	2298
113	293	2281
114	294	2265
115	295	2249
116	295	2232
117	296	2216
118	297	2202
119	298	2190
120	299	2175
121	300	2159
122	300	2145
123	301	2131
124	302	2117
125	303	2104
126	304	2090
127	305	2078
128	306	2069
129	307	2058
130	308	2046
131	309	2034
132	310	2023
133	311	2012
134	313	2007
135	314	1996
136	315	1986
137	316	1974
138	316	1963
139	317	1952
140	319	1943
141	319	1931
142	320	1920
143	321	1910
144	322	1899
145	322	1889
146	323	1878
147	324	1868
148	325	1859
149	326	1850
150	327	1843
151	328	1834
152	329	1825
153	330	1816
154	331	1807
155	332	1799
156	333	1790
157	334	1781
158	335	1773
159	336	1764
160	336	1754
161	337	1746
162	338	1737
163	339	1729
164	340	1720
165	341	1713
166	342	1706
167	343	1699
168	344	1691
169	344	1684
170	345	1676
171	346	1669
172	347	1662
173	348	1654
174	349	1647
175	350	1640
176	351	1632
177	351	1625
178	352	1617
179	353	1610
180	354	1603
181	355	1597
182	356	1591
183	357	1584
184	358	1578
185	359	1571
186	359	1564
187	360	1558
188	361	1551
189	362	1545
190	363	1539
191	364	1532
192	365	1526
193	366	1520
194	366	1514
195	367	1508
196	368	1502
197	369	1497
198	370	1492
199	371	1487
200	372	1481
201	373	1477
202	374	1471
203	375	1466
204	376	1460
205	377	1455
206	378	1449
207	379	1443
208	380	1438
209	380	1432
210	381	1426
211	382	1420
212	383	1415
213	383	1409
214	384	1404
215	385	1399
216	386	1395
217	387	1389
218	388	1384
219	388	1378
220	389	1373
221	390	1368
222	391	1362
223	392	1358
224	392	1352
225	393	1348
226	394	1343
227	395	1338
228	396	1333
229	396	1329
230	397	1324
231	398	1319
232	399	1314
233	400	1312
234	401	1308
235	402	1303
236	403	1299
237	404	1294
238	405	1289
239	405	1285
240	406	1281
241	407	1276
242	408	1272
243	409	1267
244	410	1264
245	411	1260
246	411	1255
247	412	1251
248	413	1247
249	414	1244
250	416	1242
251	417	1238
252	418	1234
253	418	1230
254	419	1226
255	420	1222
256	421	1218
257	422	1214
258	422	1209
259	423	1205
260	424	1201
261	425	1197
262	426	1193
263	426	1190
264	427	1186
265	428	1182
266	429	1179
267	430	1176
268	432	1173
269	433	1171
270	434	1167
271	434	1164
272	435	1160
273	436	1157
274	437	1153
275	438	1150
276	439	1146
277	440	1143
278	441	1140
279	441	1136
280	442	1133
281	443	1129
282	444	1126
283	445	1123
284	446	1120
285	447	1116
286	448	1113
287	448	1110
288	449	1106
289	450	1103
290	451	1099
291	452	1096
292	452	1092
293	453	1089
294	454	1086
295	455	1082
296	456	1079
297	457	1076
298	457	1073
299	458	1070
300	459	1068
301	460	1064
302	461	1061
303	462	1058
304	463	1055
305	464	1052
306	464	1049
307	465	1046
308	466	1043
309	467	1040
310	468	1037
311	469	1034
312	469	1031
313	470	1028
314	471	1025
315	472	1022
316	473	1020
317	474	1018
318	475	1015
319	476	1013
320	477	1010
321	478	1007
322	479	1004
323	479	1001
324	480	998
325	481	995
326	482	992
327	482	989
328	483	986
329	484	983
330	484	980
331	485	976
332	486	974
333	487	971
334	487	968
335	488	965
336	489	962
337	490	960
338	490	957
339	491	954
340	492	951
341	493	948
342	493	945
343	494	942
344	495	940
345	495	937
346	496	934
347	497	931
348	497	928
349	498	925
350	499	923
351	499	920
352	500	917
353	501	914
354	501	911
355	502	909
356	503	906
357	504	904
358	505	901
359	505	899
360	506	896
361	507	894
362	507	891
363	508	888
364	509	886
365	510	883
366	510	881
367	511	878
368	512	876
369	513	874
370	514	871
371	514	869
372	515	866
373	516	864
374	516	861
375	517	859
376	518	857
377	519	854
378	520	852
379	520	849
380	521	847
381	522	845
382	523	842
383	523	840
384	524	837
385	525	835
386	525	833
387	526	830
388	527	828
389	527	825
390	528	823
391	529	821
392	530	818
393	530	816
394	531	814
395	532	811
396	533	809
397	533	807
398	534	805
399	535	803
400	536	800
401	536	798
402	537	796
403	538	794
404	539	791
405	539	789
406	540	787
407	541	785
408	541	782
409	542	780
410	543	778
411	543	776
412	544	773
413	545	771
414	545	769
415	546	767
416	547	765
417	548	763
418	549	761
419	549	759
420	550	757
421	551	754
422	551	752
423	552	750
424	553	748
425	554	746
426	554	744
427	555	742
428	556	740
429	557	738
430	557	736
431	558	734
432	559	732
433	559	730
434	560	727
435	561	725
436	561	724
437	562	722
438	563	720
439	564	718
440	565	716
441	565	714
442	566	712
443	567	710
444	568	708
445	569	706
446	569	705
447	570	703
448	571	701
449	572	699
450	573	697
451	573	695
452	574	693
453	575	691
454	575	689
455	576	688
456	577	686
457	578	684
458	579	682
459	579	680
460	580	678
461	581	676
462	582	675
463	582	673
464	583	671
465	584	669
466	584	667
467	585	665
468	586	663
469	587	662
470	587	660
471	588	658
472	589	656
473	589	654
474	590	652
475	591	650
476	592	649
477	592	647
478	593	645
479	594	644
480	595	642
481	595	640
482	596	638
483	597	636
484	598	635
485	598	633
486	599	631
487	600	629
488	600	627
489	601	626
490	602	624
491	602	622
492	603	620
493	604	618
494	604	617
495	605	615
496	606	613
497	607	612
498	608	610
499	608	608
500	609	607
501	610	605
502	611	603
503	611	602
504	612	600
505	613	598
506	613	597
507	614	595
508	615	593
509	615	591
510	616	590
511	617	588
512	618	586
513	618	584
514	619	583
515	620	581
516	620	579
517	621	578
518	622	576
519	623	575
520	624	573
521	624	572
522	625	570
523	626	568
524	626	567
525	627	565
526	628	564
527	629	562
528	629	560
529	630	559
530	631	557
531	632	555
532	632	554
533	633	552
534	634	551
535	634	549
536	635	547
537	636	546
538	637	544
539	637	543
540	638	541
541	639	540
542	640	538
543	640	537
544	641	535
545	642	533
546	642	532
547	643	530
548	644	529
549	645	527
550	645	526
551	646	524
552	647	523
553	647	521
554	648	520
555	649	518
556	650	516
557	650	515
